"filename", "language", "JavaScript", "Markdown", "SCSS", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\headerComponent.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 25, 5, 66
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\lastComponent.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\navbarComponent.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 25, 4, 72
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\rscComponent.js", "JavaScript", 162, 0, 0, 0, 0, 0, 0, 0, 82, 14, 258
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\teamSectionComponent.js", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 0, 9, 45, 285
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\testingComponent.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\threeComponent.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 5, 7, 66
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\FirmComponent.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 4, 3, 61
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\NavbarComponent.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\RscComponent.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 11, 9, 121
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\allposts1.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\compare.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 4, 2, 46
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\helloComponent.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\leftTest.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 2, 11, 94
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\likeComponent.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 3, 8, 52
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\new.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\topComponent.js", "JavaScript", 364, 0, 0, 0, 0, 0, 0, 0, 122, 14, 500
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\try2.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 0, 24, 12, 180
"c:\Users\jay.patel\Desktop\next1\project-1\components\test\twocomponents.js", "JavaScript", 373, 0, 0, 0, 0, 0, 0, 0, 23, 16, 412
"c:\Users\jay.patel\Desktop\next1\project-1\contactform\allposts.css", "CSS", 0, 0, 0, 58, 0, 0, 0, 0, 0, 5, 63
"c:\Users\jay.patel\Desktop\next1\project-1\contactform\contactform.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 74, 7, 107
"c:\Users\jay.patel\Desktop\next1\project-1\contactform\styles1.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 5, 0, 49
"c:\Users\jay.patel\Desktop\next1\project-1\contactform\try1.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\jay.patel\Desktop\next1\project-1\contactform\userregis.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 79, 7, 105
"c:\Users\jay.patel\Desktop\next1\project-1\custom\test.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
